"name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","log_price","days_since_last_review"
"Beautiful Clean & Quiet Room! Rm#1","Queens","Ridgewood",40.70476,-73.90874,"Private room",59,1,142,"2019-06-16",2.34,3,359,4.0943445622221,22
"Apartment - private kitchen & bath","Brooklyn","Bedford-Stuyvesant",40.68975,-73.9346,"Entire home/apt",78,30,81,"2018-08-31",1.33,3,188,4.36944785246702,311
"Cozy studio/kitchen, bathroom","Bronx","Mott Haven",40.81444,-73.92516,"Entire home/apt",75,2,85,"2019-06-09",1.41,2,253,4.33073334028633,29
"Cozy bedroom in Brooklyn!","Brooklyn","Bedford-Stuyvesant",40.68172,-73.94095,"Private room",78,3,86,"2019-06-30",1.43,1,362,4.36944785246702,8
"Upper East Side 2 Bedroom Apartment","Manhattan","Upper East Side",40.76884,-73.95826,"Entire home/apt",250,1,4,"2016-01-03",0.07,1,0,5.52545293913178,1282
"Giant Private Townhouse w/ Garden","Brooklyn","Bedford-Stuyvesant",40.6979,-73.94126,"Entire home/apt",150,1,0,NA,0,1,0,5.01727983681492,NA
"Spacious Queen Size Room","Manhattan","Upper West Side",40.80048,-73.96621,"Private room",44,1,2,"2016-06-30",0.05,1,0,3.80666248977032,1103
"Studio w/ Private Entry in Greenpoint Brooklyn","Brooklyn","Greenpoint",40.73535,-73.9565,"Private room",69,2,25,"2019-02-12",0.47,2,125,4.24849524204936,146
"Room w/ Private Bathroom","Brooklyn","Bushwick",40.70247,-73.92061,"Private room",65,1,0,NA,0,1,5,4.18965474202643,NA
"Sunny airy beautiful Brooklyn 1B","Brooklyn","Flatbush",40.65376,-73.95336,"Entire home/apt",90,7,4,"2016-05-18",0.07,1,0,4.51085950651685,1146
"Charming Colonial House in Brooklyn","Brooklyn","East Flatbush",40.64082,-73.94818,"Entire home/apt",125,4,10,"2016-08-27",0.17,1,0,4.83628190695148,1045
"Cozy, Clean, Quiet, ENTIRE APT!!","Brooklyn","Flatbush",40.6532,-73.96216,"Entire home/apt",78,18,11,"2015-08-03",0.2,1,0,4.36944785246702,1435
"2000 sq ft Photographers loft","Manhattan","Chinatown",40.71556,-73.99234,"Entire home/apt",785,2,85,"2019-06-30",1.52,1,331,6.66695679242921,8
"Spacious Studio in my new smart house","Queens","Middle Village",40.71347,-73.88199,"Entire home/apt",99,3,160,"2019-07-05",2.65,4,299,4.60517018598809,3
"Garden apt 15 mins from Manhattan","Queens","Sunnyside",40.73873,-73.92435,"Private room",74,30,9,"2018-08-24",0.16,1,76,4.31748811353631,318
"Cozy UWS Apt Close to Central Park / Times Square","Manhattan","Upper West Side",40.7995,-73.96965,"Entire home/apt",130,4,2,"2018-01-02",0.06,1,0,4.87519732320115,552
"LEGAL studio in Queens","Queens","Woodside",40.74549,-73.90872,"Entire home/apt",105,2,216,"2019-06-18",3.54,1,70,4.66343909411207,20
"Large 1 BDR Apt on the UWS","Manhattan","Upper West Side",40.79921,-73.96704,"Entire home/apt",145,7,6,"2016-10-06",0.1,1,0,4.98360662170834,1005
"Central Park West. Queen Size Room","Manhattan","Upper West Side",40.79893,-73.96249,"Private room",90,1,146,"2019-06-23",2.67,2,40,4.51085950651685,15
"Spacious Brooklyn Townhouse","Brooklyn","Bedford-Stuyvesant",40.6851,-73.95655,"Entire home/apt",215,4,14,"2018-04-05",0.23,1,0,5.37527840768417,459
"Apartment near Upper East Side","Manhattan","East Harlem",40.78728,-73.94976,"Entire home/apt",100,3,1,"2016-05-15",0.03,1,0,4.61512051684126,1149
"Seven Days Sleep Near Prospect Park","Brooklyn","Prospect-Lefferts Gardens",40.65752,-73.95728,"Entire home/apt",92,5,192,"2019-07-06",3.14,2,281,4.53259949315326,2
"Charming Quiet Apartment in NYC (安靜公寓)","Manhattan","Kips Bay",40.73953,-73.98009,"Entire home/apt",185,29,5,"2018-07-03",0.08,1,2,5.2257466737132,370
"Updated 1 bedroom heart of Chelsea","Manhattan","Chelsea",40.74259,-74.00128,"Entire home/apt",160,4,11,"2017-01-02",0.18,1,1,5.08140436498446,917
"Quiet & Close to All + Washer/Dryer in Chelsea","Manhattan","Chelsea",40.75045,-73.99662,"Entire home/apt",93,110,12,"2019-02-18",0.26,19,329,4.54329478227,140
"west village 1BR!best value!","Manhattan","West Village",40.73316,-74.00632,"Entire home/apt",300,30,13,"2019-05-20",0.24,39,291,5.70711026474888,49
"Prime Greenpoint/Williamsburg room","Brooklyn","Greenpoint",40.72285,-73.95192,"Private room",75,1,3,"2015-10-19",0.05,3,0,4.33073334028633,1358
"Mellow One Bedroom in Chelsea ","Manhattan","Chelsea",40.74934,-74.00274,"Entire home/apt",370,1,8,"2014-08-28",0.13,1,365,5.91620206260743,1775
"Gorgeous brownstone- NYC living! ","Manhattan","Kips Bay",40.74369,-73.98153,"Entire home/apt",425,2,4,"2015-09-14",0.07,1,0,6.05443934626937,1393
"Park Slope Haven","Brooklyn","South Slope",40.6674,-73.98273,"Entire home/apt",200,30,4,"2019-06-28",0.18,11,282,5.30330490805908,10
"Stay in the heart of the East side!","Manhattan","Midtown",40.75958,-73.96231,"Private room",125,2,55,"2019-06-27",0.89,1,348,4.83628190695148,11
"Beautiful Chelsea Loft 700 Sq ft","Manhattan","Chelsea",40.74646,-73.99678,"Entire home/apt",179,10,1,"2017-01-03",0.03,1,0,5.19295685089021,916
"Good Living in Brooklyn! Double Bed","Brooklyn","Bushwick",40.69893,-73.91549,"Private room",46,2,55,"2019-01-02",1.24,1,346,3.85014760171006,187
"Spacious apartment with garden","Brooklyn","Williamsburg",40.70972,-73.95576,"Entire home/apt",150,5,37,"2019-04-26",0.76,1,86,5.01727983681492,73
"Affordable Room in Artsy Apartment","Brooklyn","Crown Heights",40.66959,-73.95664,"Private room",52,4,37,"2017-03-04",0.6,2,0,3.97029191355212,856
"Amazing Oasis in NYC!","Manhattan","Washington Heights",40.83473,-73.93706,"Private room",80,1,1,"2019-05-25",0.67,1,351,4.39444915467244,44
"Delightful & Modern 1 Bedroom","Brooklyn","Boerum Hill",40.68687,-73.98472,"Entire home/apt",120,2,4,"2015-09-27",0.08,1,0,4.79579054559674,1380
"A Dream! Luxury 3 Bedroom Apt+Pking","Brooklyn","Sheepshead Bay",40.58527,-73.93534,"Entire home/apt",300,5,8,"2017-01-09",0.13,2,363,5.70711026474888,910
"Beautiful Brooklyn Heights Share","Brooklyn","Brooklyn Heights",40.69846,-73.99312,"Private room",110,2,1,"2015-10-01",0.02,1,189,4.70953020131233,1376
"Family home near Prospect Park","Brooklyn","South Slope",40.66691,-73.98507,"Entire home/apt",200,1,4,"2019-04-27",0.07,1,0,5.30330490805908,72
"Sunny 1 bed home close to Manhattan","Brooklyn","Windsor Terrace",40.65181,-73.97648,"Entire home/apt",75,5,9,"2017-08-10",0.16,1,0,4.33073334028633,697
"Spacious and unique 1 bdrm / 2 bath","Manhattan","Upper East Side",40.76649,-73.96453,"Entire home/apt",200,5,49,"2018-12-02",0.84,1,25,5.30330490805908,218
"ADORABLE 2BR in Chelsea!!","Manhattan","Chelsea",40.74722,-74.00466,"Entire home/apt",300,3,11,"2016-04-17",0.19,1,0,5.70711026474888,1177
"Sublet near Columbia University","Manhattan","Harlem",40.81742,-73.95358,"Private room",22,10,3,"2015-08-08",0.05,1,0,3.13549421592915,1430
"Gorgeous Loft w/ 2 queen beds & full kitchen!","Brooklyn","Greenpoint",40.72428,-73.94348,"Entire home/apt",129,30,15,"2019-06-30",0.27,52,157,4.86753445045558,8
"TRENDY LOWER EAST SIDE STUDIO","Manhattan","Lower East Side",40.71866,-73.98592,"Entire home/apt",125,7,4,"2015-01-30",0.07,1,0,4.83628190695148,1620
"Cozy 1 bedroom in charming home.","Brooklyn","East Flatbush",40.65284,-73.94413,"Private room",150,1,0,NA,0,1,299,5.01727983681492,NA
"Gorgeous Studio Apt Upper East Side","Manhattan","Upper East Side",40.77486,-73.94857,"Entire home/apt",185,5,18,"2019-05-20",0.3,1,31,5.2257466737132,49
"Sunny, spacious, 1BR in Willamsburg","Brooklyn","Williamsburg",40.71626,-73.95795,"Entire home/apt",158,4,17,"2017-07-24",0.28,1,0,5.06890420222023,714
"Happy big family","Brooklyn","Flatbush",40.65287,-73.96353,"Private room",30,1,0,NA,0,1,0,3.43398720448515,NA
"Modern rowhouse in prime Ft Greene","Brooklyn","Fort Greene",40.68981,-73.97768,"Entire home/apt",316,3,29,"2019-06-23",0.49,1,6,5.75890177387728,15
"Park Slope Studio Apartment","Brooklyn","Park Slope",40.67978,-73.97458,"Entire home/apt",175,3,176,"2019-06-26",2.88,1,0,5.17048399503815,12
"Astoria: full apartment","Queens","Astoria",40.7743,-73.92579,"Entire home/apt",97,3,33,"2016-01-02",0.65,1,0,4.58496747867057,1283
"Quant 1bdrm in midtown west","Manhattan","Hell's Kitchen",40.75524,-73.99839,"Entire home/apt",175,1,1,"2014-09-24",0.02,1,347,5.17048399503815,1748
"Couch in E. Williamsburg Luxury Apt","Brooklyn","Williamsburg",40.70586,-73.94135,"Shared room",60,1,0,NA,0,2,0,4.11087386417331,NA
"Private Charming Spacious Bedroom","Brooklyn","Crown Heights",40.67591,-73.93985,"Private room",72,3,6,"2016-06-15",0.1,1,83,4.29045944114839,1118
"Lisa's Townhouse - Luxury & Style","Brooklyn","Bedford-Stuyvesant",40.68753,-73.93656,"Entire home/apt",175,5,82,"2019-01-01",1.41,1,0,5.17048399503815,188
"Upper West Side Apt, One Block to Central Park","Manhattan","Upper West Side",40.78818,-73.97133,"Entire home/apt",225,3,0,NA,0,1,0,5.42053499927229,NA
"Beautiful Summer Sublet in Ditmas Park Brooklyn","Brooklyn","Flatbush",40.64615,-73.9641,"Entire home/apt",85,5,1,"2017-07-03",0.04,1,0,4.45434729625351,735
"Cute,Cozy Lower East Side 1bdrm","Manhattan","Lower East Side",40.71307,-73.99025,"Entire home/apt",150,1,60,"2019-06-25",1,4,188,5.01727983681492,13
"Williamsburg Garden Apartment","Brooklyn","Williamsburg",40.71122,-73.94985,"Entire home/apt",225,2,257,"2019-06-23",4.21,2,179,5.42053499927229,15
"Manhattan Club Dec. 23-30, 2017","Manhattan","Midtown",40.76423,-73.98187,"Private room",400,7,5,"2017-12-30",0.09,1,0,5.99396142730657,555
"Luxury Duplex in Williamsburg with private bath","Brooklyn","Williamsburg",40.70926,-73.94673,"Private room",125,4,14,"2018-03-20",0.3,1,0,4.83628190695148,475
"Fabulous Family Getaway","Brooklyn","Crown Heights",40.66911,-73.94824,"Entire home/apt",200,3,153,"2019-06-24",2.64,1,260,5.30330490805908,14
"WHOLE LARGE 1-BEDROOM APARTMENT","Manhattan","Washington Heights",40.85304,-73.93555,"Entire home/apt",88,2,0,NA,0,1,0,4.48863636973214,NA
"Private room in Williamsburg Apt","Brooklyn","Williamsburg",40.70935,-73.94614,"Private room",250,1,0,NA,0,1,0,5.52545293913178,NA
"Beautiful Studio Near Times Square ","Manhattan","Hell's Kitchen",40.76125,-73.99642,"Entire home/apt",300,1,0,NA,0,1,0,5.70711026474888,NA
"Spacious & Cozy NYC Apartment in Brooklyn/Queens","Queens","Ridgewood",40.70026,-73.90721,"Entire home/apt",89,10,10,"2019-03-18",0.18,1,222,4.49980967033027,112
"Modern 1 BR + terrace in Gramercy","Manhattan","Kips Bay",40.73873,-73.981,"Entire home/apt",165,2,25,"2019-05-27",0.41,1,0,5.11198778835654,42
"Affordable Room in Beautiful Apt !","Manhattan","Financial District",40.70885,-74.002,"Private room",84,15,0,NA,0,2,0,4.44265125649032,NA
"Lovely 2 Floor Home, Gem in Heart of Williamsburg!","Brooklyn","Williamsburg",40.71649,-73.96166,"Entire home/apt",285,1,89,"2019-06-23",1.47,2,110,5.65599181081985,15
"Extra Large 1BR","Brooklyn","Windsor Terrace",40.64846,-73.97338,"Entire home/apt",150,4,26,"2015-09-15",0.44,1,0,5.01727983681492,1392
"cozy room, close to trains, explore brooklyn!","Brooklyn","Crown Heights",40.66955,-73.95027,"Private room",70,2,10,"2019-06-08",0.16,2,68,4.26267987704132,30
"Superior Two BR - UES (30 Days MIN)","Manhattan","Upper East Side",40.78193,-73.94884,"Entire home/apt",300,30,3,"2017-11-30",0.05,9,365,5.70711026474888,585
"Beautiful 2BD in Brooklyn Heights","Brooklyn","Brooklyn Heights",40.691,-73.99467,"Entire home/apt",220,5,3,"2018-11-04",0.13,1,186,5.39816270151775,246
"City retrieve -confort,quite,light","Manhattan","Harlem",40.82491,-73.94774,"Entire home/apt",149,31,0,NA,0,4,77,5.01063529409626,NA
"Greenwich Village cozy 1-2BD with outdoor space","Manhattan","West Village",40.73817,-74.00274,"Entire home/apt",249,3,6,"2016-08-11",0.1,1,0,5.52146091786225,1061
"Spacious 1 bd in Crown Heights","Brooklyn","Crown Heights",40.67321,-73.93093,"Entire home/apt",90,7,0,NA,0,1,0,4.51085950651685,NA
"Panoramic view of Upper Manhattan!","Manhattan","Washington Heights",40.83367,-73.94298,"Private room",69,3,18,"2019-05-04",0.29,4,270,4.24849524204936,65
"Entire lux apt in Williamsburg - 30 days or more","Brooklyn","Greenpoint",40.71959,-73.95153,"Entire home/apt",120,30,77,"2016-05-16",1.3,1,3,4.79579054559674,1148
"A cozy room in a 3 bedroom apt","Manhattan","East Harlem",40.80174,-73.93925,"Private room",69,2,60,"2019-06-29",1.05,2,271,4.24849524204936,9
"Your NYC haven at Upper Manhattan!","Manhattan","Harlem",40.83058,-73.9495,"Private room",54,5,21,"2019-04-29",0.34,4,187,4.00733318523247,70
"Your Manhattan haven: dressed in red","Manhattan","Washington Heights",40.83132,-73.94101,"Private room",50,5,24,"2019-06-27",0.39,4,177,3.93182563272433,11
"An Upper-Manhattan room of your own!","Manhattan","Washington Heights",40.83328,-73.94511,"Private room",51,6,20,"2019-06-15",0.33,4,258,3.95124371858143,23
"Cozy BR in heart of Manhattan (Hell's Kitchen)","Manhattan","Hell's Kitchen",40.76496,-73.99073,"Private room",99,3,10,"2018-07-15",0.58,1,0,4.60517018598809,358
"Two-Floor Apartment on Upper West","Manhattan","Upper West Side",40.7939,-73.97485,"Entire home/apt",290,7,1,"2016-09-22",0.03,1,0,5.67332326717149,1019
"Super cute and sunny 2 bedroom","Brooklyn","Williamsburg",40.71852,-73.94165,"Entire home/apt",240,365,0,NA,0,1,363,5.48479693349065,NA
"Awesome Deal NYC","Bronx","Allerton",40.86677,-73.85938,"Private room",49,2,114,"2019-06-29",1.87,4,240,3.91202300542815,9
"Charming 1BR Private GARDEN Apt!","Brooklyn","Boerum Hill",40.68572,-73.98602,"Entire home/apt",115,3,6,"2017-09-15",0.1,1,0,4.75359019110636,661
"Brooklyn Cozy and Convenient","Brooklyn","Crown Heights",40.67132,-73.9325,"Private room",78,21,60,"2016-12-01",0.99,1,0,4.36944785246702,949
"Sunny Bushwick Brownstone","Brooklyn","Bushwick",40.69195,-73.92068,"Entire home/apt",125,7,25,"2018-08-13",0.41,1,270,4.83628190695148,329
"Suite Lounge","Manhattan","East Harlem",40.79191,-73.94433,"Entire home/apt",135,3,225,"2019-07-01",3.69,2,13,4.91265488573605,7
"Battery Park City Sunny Bedroom ","Manhattan","Battery Park City",40.71062,-74.01537,"Private room",110,1,0,NA,0,1,0,4.70953020131233,NA
"Modern 1 Bedroom with Large Windows, Lots of Light","Manhattan","Financial District",40.70765,-74.00761,"Entire home/apt",205,2,8,"2017-01-01",0.16,1,0,5.32787616878958,918
"Modern Manhattan Living Suite 2A","Manhattan","Harlem",40.82967,-73.94428,"Entire home/apt",95,30,36,"2019-04-30",0.61,1,245,4.56434819146784,69
"Charming Boutique Room in Bushwick","Brooklyn","Bushwick",40.69502,-73.90645,"Private room",55,3,225,"2019-06-30",3.7,1,15,4.02535169073515,8
"Comfy room, minutes from metro for up to 3 people!","Brooklyn","Brownsville",40.66682,-73.92303,"Private room",47,2,118,"2019-06-10",1.99,1,310,3.87120101090789,28
"Spot in the Heights!","Manhattan","Washington Heights",40.85083,-73.9287,"Private room",39,4,48,"2019-06-12",0.82,2,12,3.68887945411394,26
"Gorgeous 2 Bedroom Loft in the Heart of Chelsea","Manhattan","Chelsea",40.7476,-73.99195,"Entire home/apt",349,5,19,"2019-05-04",0.45,1,358,5.85793315448346,65
"Luxurious Living in Williamsburg/Brooklyn","Brooklyn","Williamsburg",40.71082,-73.95186,"Entire home/apt",250,1,7,"2019-04-26",0.12,1,170,5.52545293913178,73
"COOL, ARTSY & CENTRAL APARTMENT","Manhattan","East Village",40.73165,-73.98715,"Entire home/apt",290,7,90,"2019-06-14",1.53,1,41,5.67332326717149,24
"Lovely, Sunny Bedroom in Huge DUMBO Apartment","Brooklyn","Vinegar Hill",40.7044,-73.98153,"Private room",85,1,83,"2019-05-31",1.51,3,21,4.45434729625351,38
"Charming Apt, Perfect for Couples!","Brooklyn","Bushwick",40.69349,-73.92211,"Entire home/apt",170,2,1,"2015-12-09",0.02,1,0,5.14166355650266,1307
"Sunny top floor loft with skylight in downtown NY","Manhattan","Lower East Side",40.72012,-73.99092,"Entire home/apt",146,11,50,"2019-06-04",0.82,1,0,4.99043258677874,34
"Studio Apt. 15 min from Manhattan","Queens","Astoria",40.77056,-73.92159,"Entire home/apt",99,2,7,"2018-09-04",0.12,1,0,4.60517018598809,307
"Sweet 2 bed in Elevator Building","Brooklyn","Prospect Heights",40.68148,-73.96674,"Entire home/apt",150,3,25,"2019-07-06",0.42,1,18,5.01727983681492,2
"Artsy Modern Hideout | Two bedrooms with backyard!","Brooklyn","Williamsburg",40.71122,-73.94893,"Entire home/apt",240,2,87,"2019-06-28",1.46,1,77,5.48479693349065,10
" 3 bedroom loft in Williamsburg","Brooklyn","Williamsburg",40.7117,-73.96321,"Entire home/apt",500,2,48,"2019-05-05",0.8,1,365,6.21660610108486,64
"Bright & Spacious 15 mins to Midtown Manhattan","Queens","Sunnyside",40.7468,-73.92218,"Private room",48,2,33,"2019-06-28",0.92,1,113,3.89182029811063,10
"Sunny Bushwick Apartment / Morgan L","Brooklyn","Williamsburg",40.70791,-73.93396,"Entire home/apt",129,1,21,"2016-09-05",0.36,1,0,4.86753445045558,1036
"Lovely Near Time square in 1bedroom","Manhattan","Hell's Kitchen",40.76477,-73.98542,"Entire home/apt",750,3,16,"2015-08-19",0.27,1,365,6.62140565176413,1419
"Adorable Soho Apartment","Manhattan","SoHo",40.72511,-74.00016,"Entire home/apt",180,5,9,"2019-04-14",0.15,1,87,5.19849703126583,85
"Cozy 1 BD in Astoria, City Bike & NYFerry nearby","Queens","Long Island City",40.76844,-73.93819,"Private room",70,3,1,"2018-08-25",0.09,1,342,4.26267987704132,317
"Independence in NYC","Manhattan","Upper East Side",40.77565,-73.95086,"Entire home/apt",150,2,0,NA,0,1,0,5.01727983681492,NA
"Sun-soaked 1BR in Park Slope with amazing NYC view","Brooklyn","Park Slope",40.66891,-73.97987,"Entire home/apt",240,1,1,"2017-10-31",0.05,1,0,5.48479693349065,615
"Gorgeous 1BR Park Slope Apt/Garden","Brooklyn","Park Slope",40.67505,-73.97795,"Entire home/apt",100,5,10,"2018-01-05",0.17,1,0,4.61512051684126,549
"East Village Apt at Great Location ","Manhattan","East Village",40.73005,-73.98525,"Entire home/apt",122,30,7,"2019-05-16",0.12,1,339,4.81218435537242,53
"2 Bd/1 Bath Apartment Upper East Side NYC","Manhattan","Upper East Side",40.76349,-73.95969,"Entire home/apt",400,3,9,"2019-04-28",0.36,2,0,5.99396142730657,71
"Sunny Private Room","Bronx","Allerton",40.86689,-73.85776,"Private room",47,2,75,"2018-07-05",1.27,4,172,3.87120101090789,368
"Beautiful Brooklyn 3 bdrm in Prospect Heights","Brooklyn","Prospect Heights",40.67998,-73.96743,"Entire home/apt",140,3,12,"2017-09-04",0.2,1,4,4.94875989037817,672
"Luxe Tuscan Suite Private Room","Bronx","Mott Haven",40.81055,-73.92482,"Private room",55,1,231,"2019-06-22",3.95,2,16,4.02535169073515,16
"APT IN PROSPECT/CROWN HEIGHTS ","Brooklyn","Crown Heights",40.67183,-73.95491,"Entire home/apt",110,4,3,"2016-01-03",0.05,1,0,4.70953020131233,1282
"Neat, Classy, and Simple.","Brooklyn","Bedford-Stuyvesant",40.68571,-73.95792,"Entire home/apt",175,3,1,"2014-10-24",0.02,2,365,5.17048399503815,1718
"Luxury Furnished Apt @TriBeCa/Soho","Manhattan","Civic Center",40.71663,-74.00231,"Entire home/apt",80,7,6,"2018-05-29",0.18,1,0,4.39444915467244,405
"Cute Studio in Midtown East/UES!","Manhattan","Midtown",40.75812,-73.96171,"Entire home/apt",150,2,4,"2016-11-10",0.07,1,0,5.01727983681492,970
"Spacious 2 BDR Apt. Upper West Side","Manhattan","Upper West Side",40.79037,-73.97195,"Entire home/apt",200,4,4,"2015-08-11",0.07,1,0,5.30330490805908,1427
"Private Sunny Room in Park Slope","Brooklyn","Sunset Park",40.66201,-73.99719,"Private room",50,10,1,"2016-11-08",0.03,2,0,3.93182563272433,972
"Sparkling Brick APT Heart UES +Yoga","Manhattan","Upper East Side",40.77343,-73.95979,"Private room",99,1,21,"2019-06-15",0.47,2,82,4.60517018598809,23
"Comfortable and Convenient","Manhattan","Harlem",40.82186,-73.95672,"Private room",60,7,11,"2018-08-26",0.18,2,0,4.11087386417331,316
"Cozy studio in the heart of Greenwich Village","Manhattan","Greenwich Village",40.73232,-74.0002,"Entire home/apt",225,1,39,"2019-06-18",2.73,1,49,5.42053499927229,20
"Charming Tudor 1BD Uptown","Manhattan","Washington Heights",40.85529,-73.9398,"Entire home/apt",175,3,5,"2016-09-09",0.08,1,0,5.17048399503815,1032
"New Building in Williamsburg","Brooklyn","Williamsburg",40.71409,-73.93979,"Private room",60,7,16,"2019-04-05",0.26,1,313,4.11087386417331,94
"Spacious Studio in Luxury Building","Manhattan","Upper East Side",40.78284,-73.94825,"Entire home/apt",255,2,1,"2015-09-28",0.02,1,341,5.54517744447956,1379
"Large room in renovated apartment in Williamsburg","Brooklyn","Williamsburg",40.71266,-73.94829,"Private room",75,15,4,"2015-09-30",0.07,2,0,4.33073334028633,1377
"Stunning Park Slope 2BR","Brooklyn","Gowanus",40.68094,-73.98205,"Entire home/apt",190,3,2,"2015-08-16",0.03,1,0,5.25227342804663,1422
"The Sunniest of Brooklyn Brownstones","Brooklyn","Park Slope",40.67224,-73.97837,"Entire home/apt",495,3,15,"2019-05-27",0.27,3,198,6.20657592672493,42
"Spacious, Sunny 1 Bedroom Apartment","Brooklyn","Crown Heights",40.67432,-73.95949,"Entire home/apt",98,5,11,"2019-06-17",0.18,1,188,4.59511985013459,21
"Waterfront Experience","Brooklyn","Williamsburg",40.71936,-73.96181,"Private room",150,1,0,NA,0,1,364,5.01727983681492,NA
"Modern Pad in Prime Williamsburg!","Brooklyn","Williamsburg",40.71644,-73.95876,"Entire home/apt",250,1,0,NA,0,1,0,5.52545293913178,NA
"Spacious Apt in Townhouse near Columbia University","Manhattan","Harlem",40.80493,-73.95677,"Entire home/apt",215,1,107,"2019-06-22",1.8,1,47,5.37527840768417,16
"Prime Williamsburg 1 bd apartment","Brooklyn","Williamsburg",40.72154,-73.95449,"Entire home/apt",200,5,7,"2016-01-02",0.12,1,0,5.30330490805908,1283
"Artsy, Garden Getaway in Central Brooklyn","Brooklyn","Clinton Hill",40.68266,-73.96743,"Entire home/apt",100,2,45,"2016-11-27",0.98,1,0,4.61512051684126,953
"Huge Loft in prime Williamsburg - monthly rental","Brooklyn","Williamsburg",40.71204,-73.95628,"Entire home/apt",200,30,0,NA,0,1,0,5.30330490805908,NA
"Perfect Apartment For Young Family","Manhattan","Harlem",40.81525,-73.95279,"Entire home/apt",200,6,0,NA,0,1,0,5.30330490805908,NA
"Cute 1 BR in the Lower East Side","Manhattan","Lower East Side",40.7212,-73.98893,"Entire home/apt",110,1,1,"2014-08-09",0.02,1,0,4.70953020131233,1794
"Modern & Cozy 1BD Garden Apt","Manhattan","Harlem",40.81511,-73.94315,"Entire home/apt",115,3,64,"2019-06-19",1.05,2,211,4.75359019110636,19
"Private BR in 3 BR Apt - E. Harlem","Manhattan","East Harlem",40.80278,-73.94001,"Private room",75,1,3,"2015-10-04",0.05,1,0,4.33073334028633,1373
"Boutique Loft Condo In West Village","Manhattan","West Village",40.73476,-74.001,"Entire home/apt",289,1,7,"2015-09-24",0.12,1,0,5.66988092298052,1383
"Gorgeous room in Manhattan","Manhattan","Upper East Side",40.76717,-73.95532,"Private room",95,1,202,"2019-05-27",3.31,2,263,4.56434819146784,42
"☆ PERFECT MANHATTAN LOCATION NEAR SUBWAY & CAFES!☆","Manhattan","Lower East Side",40.71812,-73.98619,"Entire home/apt",197,1,285,"2019-06-30",4.83,1,8,5.28826703069454,8
"Fabulous 1 Bedroom Apt for 1 week","Manhattan","Hell's Kitchen",40.76753,-73.98397,"Entire home/apt",150,1,0,NA,0,1,0,5.01727983681492,NA
"Sunny Home on Brooklyn Border: 15 min to Manhattan","Queens","Ridgewood",40.70706,-73.91437,"Entire home/apt",225,7,0,NA,0,1,0,5.42053499927229,NA
"Elegant Brownstone Duplex","Brooklyn","Fort Greene",40.6857,-73.97088,"Entire home/apt",375,3,6,"2018-08-27",0.1,1,252,5.92958914338989,315
"“No Place Like Home”
1st Floor Suburban Apt.","Staten Island","Eltingville",40.54268,-74.16254,"Private room",56,1,145,"2019-07-05",2.38,1,258,4.04305126783455,3
"Next to Central Park and Natural Science Museum","Manhattan","Upper West Side",40.78478,-73.97668,"Entire home/apt",225,15,15,"2019-06-16",0.45,1,266,5.42053499927229,22
"2br with Balcony in East Harlem!","Manhattan","East Harlem",40.80409,-73.93988,"Entire home/apt",70,7,1,"2014-07-28",0.02,1,0,4.26267987704132,1806
"Luxury One Bedroom CentralPark West","Manhattan","Upper West Side",40.79098,-73.96745,"Entire home/apt",264,30,6,"2018-05-24",0.1,10,281,5.57972982598622,410
"Luxury Studio Central Park West","Manhattan","Upper West Side",40.79219,-73.96862,"Entire home/apt",199,30,11,"2019-04-24",0.19,10,365,5.29831736654804,75
"5-Star Park Slope Suite w/King Bed","Brooklyn","Park Slope",40.6705,-73.97954,"Entire home/apt",149,2,19,"2019-04-07",0.33,3,28,5.01063529409626,92
"Red Hook Prime 1 BR Priv. Garden 3 blks NYC Ferry","Brooklyn","Red Hook",40.67851,-74.01591,"Entire home/apt",142,1,169,"2019-06-24",2.8,2,306,4.96284463025991,14
"Harlem Renovated Duplex Townhouse ","Manhattan","East Harlem",40.80422,-73.93841,"Entire home/apt",299,4,58,"2019-06-22",0.97,2,324,5.7037824746562,16
"One bedroom apartment","Brooklyn","Bedford-Stuyvesant",40.68887,-73.95013,"Entire home/apt",50,3,15,"2016-06-21",0.25,1,0,3.93182563272433,1112
"Private brownstone studio Brooklyn","Brooklyn","Park Slope",40.67926,-73.97711,"Entire home/apt",160,1,488,"2019-07-01",8.14,1,269,5.08140436498446,7
"Your own private big Brooklyn apt!","Brooklyn","Bedford-Stuyvesant",40.68422,-73.95666,"Entire home/apt",127,4,142,"2019-05-28",2.34,1,2,4.85203026391962,41
"Charming Fort Greene Studio","Brooklyn","Clinton Hill",40.68407,-73.96715,"Entire home/apt",110,3,39,"2019-01-01",0.85,1,0,4.70953020131233,188
"Great Room in Heart of LES","Manhattan","Lower East Side",40.71922,-73.98472,"Private room",69,2,36,"2019-06-30",0.6,3,5,4.24849524204936,8
"Lovely and quiet Brownstone!!!!","Brooklyn","Bedford-Stuyvesant",40.68448,-73.95854,"Entire home/apt",175,3,4,"2014-11-02",0.07,2,365,5.17048399503815,1709
"Charming East Village Apartment","Manhattan","East Village",40.72402,-73.98771,"Entire home/apt",179,5,72,"2016-11-22",1.18,1,0,5.19295685089021,958
